"","ENTREZID","SYMBOL","ENSEMBL","SRR7251660","SRR7251661","SRR7251662","SRR7251664","SRR7251665","SRR7251667","SRR7251668","SRR7251670"
"7176","2197","FAU","ENSG00000149806",33,119,57,58,82,2,18,1
"7197","2199","FBLN2","ENSG00000163520",5,11,16,1,4,0,1,1
"7223","2200","FBN1","ENSG00000166147",27,5,5,0,2,0,1,0
"7236","2201","FBN2","ENSG00000138829",15,6,31,4,39,1,22,0
"7244","2202","EFEMP1","ENSG00000115380",6,0,0,0,0,0,0,0
"7248","2203","FBP1","ENSG00000165140",1,8,18,1,13,1,6,1
"7253","2204","FCAR","ENSG00000186431",0,0,0,0,2,2,0,3
"7254","2204","FCAR","ENSG00000276858",0,0,0,0,2,2,0,3
"7255","2204","FCAR","ENSG00000273738",0,0,0,0,2,2,0,3
"7256","2204","FCAR","ENSG00000276985",0,0,0,0,2,2,0,3
"7257","2204","FCAR","ENSG00000275136",0,0,0,0,2,2,0,3
"7258","2204","FCAR","ENSG00000275970",0,0,0,0,2,2,0,3
"7259","2204","FCAR","ENSG00000275269",0,0,0,0,2,2,0,3
"7260","2204","FCAR","ENSG00000278415",0,0,0,0,2,2,0,3
"7261","2204","FCAR","ENSG00000275564",0,0,0,0,2,2,0,3
"7262","2204","FCAR","ENSG00000274580",0,0,0,0,2,2,0,3
"7263","2204","FCAR","ENSG00000283750",0,0,0,0,2,2,0,3
"7264","2204","FCAR","ENSG00000284245",0,0,0,0,2,2,0,3
"7265","2204","FCAR","ENSG00000284004",0,0,0,0,2,2,0,3
"7266","2204","FCAR","ENSG00000283953",0,0,0,0,2,2,0,3
"7267","2204","FCAR","ENSG00000284061",0,0,0,0,2,2,0,3
"7270","2205","FCER1A","ENSG00000179639",1,5,21,1,25,2,11,1
"7272","2206","MS4A2","ENSG00000149534",0,2,2,0,5,0,0,0
"7273","2207","FCER1G","ENSG00000158869",54,238,152,62,129,18,78,8
"7275","2208","FCER2","ENSG00000104921",29,39,14,10,70,3,0,0
"7277","2209","FCGR1A","ENSG00000150337",0,0,0,0,0,0,0,0
"7290","2210","FCGR1B","ENSG00000198019",0,0,0,0,0,0,0,0
"7314","2212","FCGR2A","ENSG00000143226",27,91,188,40,126,64,114,35
"7321","2213","FCGR2B","ENSG00000072694",6,19,20,5,50,1,5,0
"7331","2214","FCGR3A","ENSG00000203747",32,79,535,38,535,20,74,11
"7349","2215","FCGR3B","ENSG00000162747",64,2,6,8,9,70,1,37
"7370","2217","FCGRT","ENSG00000104870",40,73,156,31,112,2,17,4
"7378","2218","FKTN","ENSG00000106692",8,53,43,4,76,3,7,3
"7385","2219","FCN1","ENSG00000085265",89,266,777,230,602,30,278,9
"7396","2220","FCN2","ENSG00000160339",0,0,0,1,0,0,1,0
"7405","2222","FDFT1","ENSG00000079459",19,114,73,13,107,6,42,7
"7406","2222","FDFT1","ENSG00000284967",19,114,73,13,107,6,42,7
